,uuid,study_started_time,study_agreement_time,gridanswers_time,susanswers_time,study_started,study_agreement,susanswers_submited,grid_submited,study_completed,campaign,mobile,map_version,study_question,index,innerWidth,innerHeight,availWidth,availHeight,sus-score,percent-correct,time-taken-minutes
10,636332809-422139566-1591790764-3755493695,2020-02-14T15:45:25.164Z,2020-02-14T15:45:51.921Z,2020-02-14T15:46:57.221Z,2020-02-14T15:47:58.312Z,True,True,True,True,True,"""class""",False,1,0,10,412,708,412,732,95.0,78.57142857142857,1.0883333333333334
7,513636475-3775535492-3287286288-876446383,2020-02-11T19:08:20.699Z,2020-02-11T19:08:20.851Z,2020-02-11T19:10:47.927Z,2020-02-11T19:11:31.303Z,True,True,True,True,True,"""work""",False,1,1,7,2048,1042,2048,1112,90.0,100.0,2.4512666666666667
18,4192331358-3578258593-3137883128-1441252649,2020-02-16T18:07:12.886Z,2020-02-16T18:15:35.016Z,2020-02-16T18:17:19.229Z,2020-02-16T18:17:55.098Z,True,True,True,True,True,"""class""",False,2,0,18,1920,969,1920,1040,85.0,100.0,1.7368833333333333
0,4130749875-85631919-32943634-4247279750,2020-02-11T14:20:34.103Z,2020-02-11T14:20:48.156Z,2020-02-11T14:22:07.471Z,2020-02-11T14:23:17.408Z,True,True,True,True,True,"""work""",False,1,1,0,1920,968,1920,1050,75.0,78.57142857142857,1.3219166666666666
30,4110039158-2476919820-2563837249-2901969652,2020-02-18T21:05:29.324Z,2020-02-18T21:05:32.629Z,2020-02-18T21:07:24.752Z,2020-02-18T21:07:48.124Z,True,True,True,True,True,"""collider""",False,0,2,30,1256,772,2520,1417,90.0,100.0,1.8687166666666666
11,3964968620-980752525-4030852865-822217090,2020-02-14T16:16:07.580Z,2020-02-14T16:17:04.921Z,2020-02-14T16:19:37.176Z,2020-02-14T16:20:59.302Z,True,True,True,True,True,"""class""",False,0,0,11,414,719,414,896,47.5,100.0,2.5375833333333335
4,3801886530-108263296-116202630-21502583,2020-02-11T14:51:35.078Z,2020-02-11T14:52:01.616Z,2020-02-11T14:55:17.096Z,2020-02-11T14:56:22.261Z,True,True,True,True,True,"""work""",False,1,2,4,1850,942,1850,1080,82.5,100.0,3.258
26,3496217876-1496340340-3771529412-3533287220,2020-02-18T03:51:27.416Z,2020-02-18T03:51:44.472Z,2020-02-18T03:52:55.637Z,2020-02-18T03:53:43.819Z,True,True,True,True,True,"""class""",False,0,0,26,1366,657,1366,728,65.0,61.904761904761905,1.1860833333333334
9,3410056115-769860148-947348087-4080085663,2020-02-11T23:02:33.030Z,2020-02-11T23:02:33.351Z,2020-02-11T02:37:17.271Z,2020-02-11T23:02:33.446Z,True,True,True,True,True,,False,1,2,9,1243,657,1280,777,50.0,11.904761904761903,-1225.268
23,3263991975-1460974196-3804823567-1288041434,2020-02-16T23:54:36.777Z,2020-02-16T23:57:44.595Z,2020-02-16T23:59:57.171Z,2020-02-17T00:01:57.799Z,True,True,True,True,True,"""class""",False,0,0,23,1536,706,1536,808,85.0,83.33333333333334,2.2096
28,2762687257-191187154-81793721-451244055,2020-02-18T18:55:10.929Z,2020-02-18T18:55:11.199Z,2020-02-18T18:56:43.444Z,2020-02-18T18:57:17.387Z,True,True,True,True,True,"""collider""",False,2,1,28,1440,781,1440,877,90.0,95.23809523809523,1.5374166666666667
31,2710159360-2153884562-4028113305-166686323,2020-02-18T22:10:59.895Z,2020-02-18T22:11:03.161Z,2020-02-18T22:15:00.949Z,2020-02-18T22:16:21.464Z,True,True,True,True,True,"""lin""",False,1,2,31,1920,916,1920,1040,75.0,85.71428571428571,3.9631333333333334
14,2667429017-3363420734-4257927102-4084572879,2020-02-14T18:15:45.937Z,2020-02-14T18:15:55.141Z,2020-02-14T18:17:07.283Z,2020-02-14T18:18:35.277Z,True,True,True,True,True,"""work""",False,2,2,14,1853,981,1853,1053,92.5,50.0,1.2023666666666666
6,25121918-2431056842-3644005019-3482052675,2020-02-11T18:26:37.314Z,2020-02-11T18:26:37.634Z,2020-02-11T18:39:27.719Z,2020-02-11T18:41:15.199Z,True,True,True,True,True,"""work""",False,0,1,6,1536,754,1536,824,92.5,100.0,12.83475
29,2453238800-259860634-1791628013-195577407,2020-02-18T19:10:42.746Z,2020-02-18T19:11:02.468Z,2020-02-18T19:11:51.741Z,2020-02-18T19:12:33.495Z,True,True,True,True,True,"""collider""",False,2,0,29,1594,1075,2560,1324,77.5,100.0,0.8212166666666667
3,2343111078-164526432-2245214180-2807309318,2020-02-11T14:46:32.087Z,2020-02-11T14:46:32.249Z,2020-02-11T14:47:49.149Z,2020-02-11T14:48:59.034Z,True,True,True,True,True,"""work""",False,1,0,3,1536,712,1536,864,90.0,83.33333333333334,1.2816666666666667
17,2205571591-1520721880-2026623427-2391884029,2020-02-16T04:19:19.720Z,2020-02-16T04:19:24.238Z,2020-02-16T04:22:15.113Z,2020-02-16T04:24:01.778Z,True,True,True,True,True,"""class""",False,0,0,17,1536,706,1536,808,37.5,66.66666666666666,2.847916666666667
25,2195061779-3862079987-2771857367-925826413,2020-02-18T01:03:40.027Z,2020-02-18T01:03:47.030Z,2020-02-18T01:04:56.456Z,2020-02-18T01:05:35.520Z,True,True,True,True,True,"""class""",False,2,0,25,1280,578,1280,680,80.0,95.23809523809523,1.1571
2,2121315751-968787463-2438435421-1001255746,2020-02-11T14:38:44.595Z,2020-02-11T14:38:44.810Z,2020-02-11T14:40:01.033Z,2020-02-11T14:41:21.421Z,True,True,True,True,True,"""work""",False,2,0,2,1920,969,1920,1040,70.0,88.09523809523809,1.2703833333333334
27,2032289902-3134989517-749829684-3582826032,2020-02-18T18:53:34.234Z,2020-02-18T18:53:41.715Z,2020-02-18T18:55:03.659Z,2020-02-18T18:55:50.960Z,True,True,True,True,True,"""collider""",False,0,0,27,1920,969,1920,1080,65.0,78.57142857142857,1.3657333333333332
15,1995950144-1537459504-3299344827-2253538508,2020-02-14T18:40:56.229Z,2020-02-14T18:41:06.395Z,2020-02-14T18:43:28.361Z,2020-02-14T18:44:28.497Z,True,True,True,True,True,"""class""",False,2,2,15,1366,663,1366,768,87.5,100.0,2.3661
20,1973134840-2278597730-240597740-481920916,2020-02-16T21:04:26.871Z,2020-02-16T21:04:38.393Z,2020-02-16T21:06:07.672Z,2020-02-16T21:06:43.555Z,True,True,True,True,True,"""class""",False,2,1,20,1280,578,1280,680,95.0,97.61904761904762,1.4879833333333334
1,1723945407-755444427-922058187-3105466532,2020-02-11T14:22:40.945Z,2020-02-11T14:23:07.843Z,2020-02-11T14:24:26.449Z,2020-02-11T14:25:18.004Z,True,True,True,True,True,"""work""",False,2,0,1,1533,718,1920,1040,80.0,95.23809523809523,1.3101
21,1519386002-1524192391-1093411273-1470479984,2020-02-16T22:00:06.279Z,2020-02-16T22:00:09.654Z,2020-02-16T22:02:01.571Z,2020-02-16T22:02:52.599Z,True,True,True,True,True,"""class""",False,0,0,21,1536,722,1536,824,75.0,100.0,1.8652833333333334
8,1474268641-122509903-1352607370-1577681961,2020-02-11T22:24:16.962Z,2020-02-11T22:24:56.232Z,2020-02-11T22:25:18.487Z,2020-02-11T22:26:06.200Z,True,True,True,True,True,"""work""",False,1,0,8,1294,730,1440,807,85.0,16.666666666666664,0.3709166666666667
5,1393233848-4036256654-3631789502-4133460199,2020-02-11T18:33:26.429Z,2020-02-11T18:33:26.574Z,2020-02-11T18:32:46.572Z,2020-02-11T18:34:16.953Z,True,True,True,True,True,"""work""",False,1,1,5,1920,944,1920,1080,80.0,76.19047619047619,-0.6667
12,1302481423-2793553103-427798462-2149226108,2020-02-14T16:57:45.690Z,2020-02-14T16:58:34.431Z,2020-02-14T17:01:04.648Z,2020-02-14T17:01:37.865Z,True,True,True,True,True,"""class""",False,1,1,12,375,635,375,812,80.0,92.85714285714286,2.503616666666667
